image_location,class
NINCO_popular_datasets_subsamples/Places/Places_000_b_badlands_00000792.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_001_b_badlands_00001714.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_002_b_bamboo_forest_00000092.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_003_b_bamboo_forest_00000761.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_004_b_bamboo_forest_00001840.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_005_b_bamboo_forest_00002397.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_006_b_bamboo_forest_00002617.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_007_b_bamboo_forest_00003382.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_008_c_canal_natural_00000061.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_009_c_canal_natural_00002630.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_010_c_corn_field_00003028.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_011_c_corn_field_00003654.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_012_c_corn_field_00003812.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_013_c_creek_00000679.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_014_c_creek_00000912.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_015_c_crevasse_00000655.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_016_c_crevasse_00001083.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_017_c_crevasse_00001491.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_018_c_crevasse_00001758.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_019_d_desert_road_00000125.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_020_d_desert_road_00000596.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_021_d_desert_road_00001221.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_022_d_desert_road_00004926.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_023_d_desert_sand_00001350.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_024_d_desert_sand_00002961.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_025_d_desert_sand_00004735.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_026_d_desert_vegetation_00000186.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_027_d_desert_vegetation_00000545.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_028_d_desert_vegetation_00001034.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_029_d_desert_vegetation_00001755.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_030_d_desert_vegetation_00002846.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_031_d_desert_vegetation_00003014.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_032_d_desert_vegetation_00003844.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_033_d_desert_vegetation_00004168.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_034_f_field_cultivated_00000307.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_035_f_field_cultivated_00001547.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_036_f_field_cultivated_00001884.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_037_f_field_road_00000842.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_038_f_field_road_00000994.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_039_f_field_road_00001581.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_040_f_field_road_00002212.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_041_f_field_wild_00000123.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_042_f_field_wild_00000982.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_043_f_field_wild_00004275.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_044_f_field_wild_00004333.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_045_f_forest_broadleaf_00000871.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_046_f_forest_broadleaf_00001463.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_047_f_forest_broadleaf_00003258.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_048_f_forest_broadleaf_00004264.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_049_f_forest_path_00000520.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_050_f_forest_path_00000583.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_051_f_forest_path_00002066.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_052_f_forest_path_00004079.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_053_f_forest_path_00004634.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_054_f_forest_road_00002547.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_055_f_forest_road_00003834.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_056_f_forest_road_00003835.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_057_f_forest_road_00004099.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_058_f_formal_garden_00000217.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_059_f_formal_garden_00002141.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_060_f_formal_garden_00004336.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_061_g_glacier_00002990.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_062_g_grotto_00000279.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_063_g_grotto_00000293.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_064_g_grotto_00000461.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_065_g_grotto_00001205.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_066_g_grotto_00001305.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_067_g_grotto_00003151.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_068_h_hayfield_00000631.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_069_h_hayfield_00003658.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_070_h_hayfield_00003680.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_071_h_hayfield_00003894.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_072_h_hayfield_00004437.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_073_h_hayfield_00004653.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_074_h_hayfield_00004780.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_075_i_ice_floe_00000212.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_076_i_ice_floe_00001057.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_077_i_ice_shelf_00000161.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_078_i_ice_shelf_00000936.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_079_i_ice_shelf_00001511.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_080_i_igloo_00000407.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_081_i_igloo_00001835.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_082_j_japanese_garden_00000709.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_083_j_japanese_garden_00001637.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_084_j_japanese_garden_00003295.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_085_j_japanese_garden_00003567.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_086_l_lawn_00000133.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_087_l_lawn_00002596.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_088_l_lawn_00003015.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_089_m_marsh_00001203.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_090_m_marsh_00002849.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_091_m_marsh_00003315.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_092_o_orchard_00000186.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_093_o_orchard_00001119.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_094_o_orchard_00001600.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_095_o_orchard_00002481.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_096_p_pond_00001667.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_097_r_rainforest_00000218.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_098_r_rainforest_00000251.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_099_r_rainforest_00001080.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_100_r_rainforest_00001870.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_101_r_rainforest_00002693.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_102_r_rainforest_00003169.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_103_r_rainforest_00004764.jpg,Places
NINCO_popular_datasets_subsamples/Places/Places_104_r_rice_paddy_00001546.jpg,Places
